,_record_id,_title,_server_updated_at,_updated_by,_geometry,_latitude,_longitude,282_payment_method_that_purchase,283_fulfill_needs,300_did_not_find,237_distance_household_interviewee,299_means_transportation_consumer,238_frequency_buying_store,284_additional_products_store,301_electricity_bill,305_electricity_bill_store,302_water_bill,306_water_bill_store,303_gas_bill,307_gas_bill_store,286_topups,308_topups_in_store,287_wire_transfers,309_wiretransfers_in_store,320_other_services_in_store,304_additional_services_store,81_number_online_purchases_month,288_number_app_purchases_month,289_number_whatsapp_purchases_month,83_willingness_ultrafast_delivery,84_willingness_sameday_delivery,241_age_of_the_interviewee,240_gender_interviewee,indicate_the_type_of_store,name_of_the_store,storefront_picture_just_once_if_possible
38,84785c1b-15a9-4b2b-98e1-6d7f74277927,"November 9, 2022",2022-11-09 23:19:11 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1665194407 19.0696236004),19.0696236004,-98.1665194407,Efectivo,yes,y_producto,más de 10 cuadras,Transporte público,1,y_producto_adicional,"CFE,En línea ",no,En línea ,no,"En línea ,Proveedor de gas",no,Tienda de conveniencia (e.g. OXXO),no,No lo hago,no,no,y_servicio_adicional,4,9,0,0,0,18,Female,Micro-restaurant (aka. fondita),Café Donatelli,1 Photo
39,49cfc1e7-8560-4aec-8973-d55b559e3336,"November 9, 2022",2022-11-09 23:19:11 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1676251814 19.0708933214),19.0708933214,-98.1676251814,Efectivo,yes,y_producto,más de 10 cuadras,Transporte público,1,y_producto_adicional,CFE,no,Sistema de agua,no,Proveedor de gas,no,No lo hago,no,No lo hago,no,no,y_servicio_adicional,2,0,0,0,0,18,Male,Micro-restaurant (aka. fondita),(No tiene nombre) ,1 Photo
41,f16783bf-0337-40af-b4c2-bf40e9e0d78a,"November 9, 2022",2022-11-09 23:19:10 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1671024859 19.0712311093),19.0712311093,-98.1671024859,Efectivo,yes,y_producto,más de 10 cuadras,Transporte público,1,y_producto_adicional,CFE,yes,Sistema de agua,yes,Proveedor de gas,yes,Tienda de conveniencia (e.g. OXXO),yes,No lo hago,no,yes,Pago de servicios ,0,0,0,50,50,19,Female,Grocery store (aka. nanostore),El León ,1 Photo
42,8476942c-3475-4386-a2eb-57e8c7cac9ee,"November 9, 2022",2022-11-09 23:19:09 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1671789289 19.0711623476),19.0711623476,-98.1671789289,Efectivo,yes,y_producto,más de 10 cuadras,Transporte público,2,y_producto_adicional,CFE,no,Sistema de agua,no,No lo hago,no,No lo hago,no,No lo hago,no,no,y_servicio_adicional,0,0,0,0,0,22,Male,Grocery store (aka. nanostore),La universitaria ,1 Photo
43,811a4e98-1f23-4410-8842-4a60c0dad15c,"November 9, 2022",2022-11-09 23:19:09 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1671712175 19.0711626645),19.0711626645,-98.1671712175,Efectivo,yes,y_producto,más de 10 cuadras,Transporte público,1,y_producto_adicional,En línea ,no,En línea ,no,Proveedor de gas,no,En línea ,yes,No lo hago,no,no,y_servicio_adicional,4,2,0,10,10,22,Male,Grocery store (aka. nanostore),La universitaria ,1 Photo
44,7a8c638f-c833-499f-90ef-8e01278d19e7,"November 9, 2022",2022-11-09 23:19:08 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1671775877 19.0711556933),19.0711556933,-98.1671775877,Efectivo,yes,y_producto,más de 10 cuadras,Transporte público,3,y_producto_adicional,Tienda de conveniencia (e.g. OXXO),no,No lo hago,no,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),no,No lo hago,no,no,y_servicio_adicional,2,3,0,0,0,19,Female,Grocery store (aka. nanostore),La universitaria ,1 Photo
45,b6f1ef8b-896f-49c5-9bb0-f0d542628ae1,"November 9, 2022",2022-11-09 23:19:08 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1676315516 19.0708949058),19.0708949058,-98.1676315516,Efectivo,yes,y_producto,0 a 3 cuadras,A pie,2,y_producto_adicional,CFE,yes,Sistema de agua,yes,Proveedor de gas,yes,Banco,yes,Banco,yes,yes,Servicios ,3,10,0,50,50,22,Male,Micro-restaurant (aka. fondita),(No tiene nombre) ,1 Photo
47,3e5a3d58-b05e-4c44-bdb2-fe94ee01fcd4,"November 9, 2022",2022-11-09 23:19:07 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1676328927 19.0708936383),19.0708936383,-98.1676328927,Efectivo,yes,y_producto,7 a 10 cuadras,Automóvil,2,y_producto_adicional,CFE,no,Sistema de agua,no,Proveedor de gas,no,Banco,no,Banco,no,no,y_servicio_adicional,1,8,0,50,100,18,Male,Micro-restaurant (aka. fondita),(No tiene nombre),1 Photo
50,b548980c-402b-46d3-8a36-85780245dfbf,"November 9, 2022",2022-11-09 23:19:05 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1670967862 19.0712510723),19.0712510723,-98.1670967862,Efectivo,yes,y_producto,más de 10 cuadras,Transporte público,1,y_producto_adicional,CFE,no,Sistema de agua,no,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),no,No lo hago,no,no,y_servicio_adicional,0,3,0,100,100,21,Male,Produce (fruits & vegetables),Hermanos Gonzales ,1 Photo
51,f03fafe6-b525-48d7-afe2-6ba197f6df8b,"November 9, 2022",2022-11-09 23:19:04 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1671105325 19.0712311093),19.0712311093,-98.1671105325,Efectivo,yes,y_producto,más de 10 cuadras,Transporte público,3,y_producto_adicional,CFE,no,Sistema de agua,no,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),no,No lo hago,no,no,y_servicio_adicional,1,0,0,0,0,18,Male,Grocery store (aka. nanostore),El León,1 Photo
53,acd7eff1-85ca-4d66-8bdc-94f064a9833e,"November 9, 2022",2022-11-09 23:19:03 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1671145558 19.0712269899),19.0712269899,-98.1671145558,Efectivo,yes,y_producto,0 a 3 cuadras,A pie,2,y_producto_adicional,No lo hago,no,No lo hago,no,No lo hago,no,Tienda de conveniencia (e.g. OXXO),no,No lo hago,no,yes,Entrega a domicilio ,2,1,0,50,50,24,Male,Grocery store (aka. nanostore),Tontería y tienda “El León”,1 Photo
54,02c19dfb-29f0-44be-ae71-ab382da68658,"November 9, 2022",2022-11-09 23:19:03 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1672017276 19.0713759206),19.0713759206,-98.1672017276,Efectivo,yes,y_producto,más de 10 cuadras,Transporte público,1,y_producto_adicional,Banco,no,Sistema de agua,no,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),no,No lo hago,no,no,y_servicio_adicional,3,0,0,0,0,22,Male,Grocery store (aka. nanostore),Lonchería Karina,1 Photo
55,0f0c4409-0781-45a5-b834-e20839c4a36a,"November 9, 2022",2022-11-09 23:19:02 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1669915095 19.0716601559),19.0716601559,-98.1669915095,Efectivo,yes,y_producto,0 a 3 cuadras,A pie,1,y_producto_adicional,No lo hago,no,No lo hago,no,No lo hago,no,Tienda de conveniencia (e.g. OXXO),no,No lo hago,no,no,y_servicio_adicional,0,0,0,30,30,20,Female,Cafeteria,Jugueria Cristy ,1 Photo
56,b9829918-2c20-4e66-8466-bec35eaabaed,"November 9, 2022",2022-11-09 23:19:01 UTC,Amaranta Hernández,SRID=4326;POINT(-98.167033419 19.0716028019),19.0716028019,-98.167033419,Efectivo,yes,y_producto,más de 10 cuadras,Transporte público,1,y_producto_adicional,En línea ,no,En línea ,no,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),no,Tienda de conveniencia (e.g. OXXO),no,no,y_servicio_adicional,0,0,0,0,0,21,Female,Micro-restaurant (aka. fondita),Antojitos las bilingües ,1 Photo
57,51b17ed4-ab42-4e64-aaa5-b70218ff90ac,"November 9, 2022",2022-11-09 23:19:00 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1670367718 19.0716009007),19.0716009007,-98.1670367718,Efectivo,yes,y_producto,7 a 10 cuadras,Automóvil,1,y_producto_adicional,"CFE,Tienda de conveniencia (e.g. OXXO)",yes,"Sistema de agua,Tienda de conveniencia (e.g. OXXO)",no,Tienda de conveniencia (e.g. OXXO),no,Tienda de conveniencia (e.g. OXXO),no,Tienda de conveniencia (e.g. OXXO),no,no,y_servicio_adicional,0,0,0,0,0,45,Male,Micro-restaurant (aka. fondita),Antojitos las Bilingües ,1 Photo
58,fc30f1f5-5f82-4a09-8435-d4ad2f7d9b90,"November 9, 2022",2022-11-09 23:12:54 UTC,Gianluca De la rosa,SRID=4326;POINT(-98.1655981019 19.0722847115),19.0722847115,-98.1655981019,Efectivo,yes,y_producto,0 a 3 cuadras,A pie,6,y_producto_adicional,"CFE,Supermercado",yes,"Sistema de agua,Supermercado",yes,"Proveedor de gas,Supermercado",yes,Fonda,yes,Banco,yes,yes,y_servicio_adicional,0,0,0,80,0,64,Female,Butcher shop,La Esmeralda ,1 Photo
60,312f228d-4803-4fc1-90c8-0a76470af6dd,"November 9, 2022",2022-11-09 23:12:54 UTC,Gianluca De la rosa,SRID=4326;POINT(-98.1673499197 19.0709443382),19.0709443382,-98.1673499197,Efectivo,yes,y_producto,más de 10 cuadras,Transporte público,1,y_producto_adicional,Tienda de conveniencia (e.g. OXXO),yes,Tienda de conveniencia (e.g. OXXO),yes,Tienda de conveniencia (e.g. OXXO),yes,Tienda de conveniencia (e.g. OXXO),yes,Tienda de conveniencia (e.g. OXXO),yes,yes,Pago de servicios ,2,3,0,40,100,19,Male,Produce (fruits & vegetables),——,no_photo
62,633c4f73-b69a-4c5b-93a0-37ab3c95e6d2,"November 9, 2022",2022-11-09 23:12:52 UTC,Gianluca De la rosa,SRID=4326;POINT(-98.1675685197 19.0707038304),19.0707038304,-98.1675685197,Efectivo,yes,y_producto,más de 10 cuadras,Transporte público,5,y_producto_adicional,Tienda de conveniencia (e.g. OXXO),no,Tienda de conveniencia (e.g. OXXO),no,Tienda de conveniencia (e.g. OXXO),no,Tienda de conveniencia (e.g. OXXO),no,Tienda de conveniencia (e.g. OXXO),no,no,y_servicio_adicional,0,0,0,0,100,26,Female,Grocery store (aka. nanostore),Super Tec,1 Photo
69,6f9da911-9487-4564-94cd-b189c490ac17,"November 9, 2022",2022-11-09 23:12:49 UTC,Gianluca De la rosa,SRID=4326;POINT(-98.1670971215 19.0712472699),19.0712472699,-98.1670971215,Efectivo,yes,y_producto,más de 10 cuadras,Transporte público,5,y_producto_adicional,Tienda de conveniencia (e.g. OXXO),no,Tienda de conveniencia (e.g. OXXO),no,Tienda de conveniencia (e.g. OXXO),no,Tienda de conveniencia (e.g. OXXO),no,Tienda de conveniencia (e.g. OXXO),no,no,y_servicio_adicional,1,0,0,100,20,22,Male,Grocery store (aka. nanostore),El león,1 Photo
73,ac893814-01ab-40e9-a87d-6f5a56404f42,"November 9, 2022",2022-11-09 23:12:47 UTC,Gianluca De la rosa,SRID=4326;POINT(-98.1669918448 19.0716604728),19.0716604728,-98.1669918448,Efectivo,yes,y_producto,4 a 6 cuadras,Automóvil,2,y_producto_adicional,Tienda de conveniencia (e.g. OXXO),no,Tienda de conveniencia (e.g. OXXO),no,Tienda de conveniencia (e.g. OXXO),no,Tienda de conveniencia (e.g. OXXO),no,Tienda de conveniencia (e.g. OXXO),no,no,y_servicio_adicional,1,0,0,50,50,50,Female,Cafeteria,Juguería Cristy,1 Photo
